name,province,urban_class,latitude,longitude,flood_area_pct,damaged_buildings,displaced_people,need_posts,response_posts,response_teams,note,impact_score,response_score,impact_share,response_share,mismatch_residual,mismatch_label
Conselice,Ravenna,rural_agricultural,44.5114,11.829,80,160,6000,125,15,3,Persistent waterlogging in low-lying Fruit Valley basin; strong under-response signal.,0.14498607390323132,0.03926006810778798,0.14498607390323134,0.03926006810778798,-0.10572600579544336,severe_under_response
Solarolo,Ravenna,small_town,44.358,11.8453,50,65,1800,18,7,1,Local under-response signal in rural fringe.,0.07512355337888477,0.015366819662422268,0.07512355337888478,0.015366819662422268,-0.059756733716462514,severe_under_response
Cotignola,Ravenna,small_town,44.3859,11.9385,45,80,2200,25,8,2,"Small-town distress signals, lower response visibility.",0.0751376494788693,0.02389324844536571,0.07513764947886932,0.02389324844536571,-0.05124440103350361,severe_under_response
Modigliana,Forli-Cesena,mountain_village,44.159,11.793,30,50,1200,20,5,1,Landslide isolation and lower formal-response visibility.,0.04835546680758045,0.01308668936926266,0.04835546680758046,0.01308668936926266,-0.0352687774383178,under_response
Tredozio,Forli-Cesena,mountain_village,44.076,11.744,25,25,600,15,2,1,Peripheral village; social signals suggest isolation.,0.03462159763355524,0.009666493929523247,0.03462159763355525,0.009666493929523247,-0.024955103704032,under_response
Lugo,Ravenna,secondary_town,44.4214,11.9116,40,150,7500,50,30,8,"Initially isolated, later received aid.",0.10541151226360698,0.09329286348830323,0.10541151226360701,0.09329286348830323,-0.012118648775303775,aligned
Ravenna,Ravenna,city,44.4184,12.2035,18,140,27000,20,40,16,Major coordination and evacuation focus.,0.14262559695920912,0.16378442404501037,0.14262559695920915,0.16378442404501037,0.02115882708580122,slight_over_response
Rimini,Rimini,coastal_city,44.0678,12.5695,10,50,1500,15,20,5,Moderate coastal and canal flooding.,0.02843423319341124,0.05973312111341428,0.02843423319341125,0.05973312111341428,0.03129888792000303,slight_over_response
Bologna,Bologna,regional_capital,44.4949,11.3426,5,30,800,10,25,5,Low direct impact; regional mobilization and support hub.,0.015693988544616636,0.06543344684631329,0.01569398854461664,0.06543344684631329,0.049739458301696654,slight_over_response
Forli,Forli-Cesena,secondary_city,44.2227,12.0407,20,160,8000,30,45,13,Suburbs flooded; response presence was frequently observed.,0.0887661874937134,0.1473256588688185,0.08876618749371341,0.1473256588688185,0.058559471375105074,possible_over_response
Faenza,Ravenna,secondary_city,44.2899,11.8833,35,240,12000,80,60,18,"High impact, strong visible rescue and volunteer response.",0.13837121335545263,0.20135845424933374,0.13837121335545266,0.20135845424933374,0.06298724089388108,possible_over_response
Cesena,Forli-Cesena,secondary_city,44.1391,12.2431,25,180,9000,40,50,15,Visible water rescue activity.,0.10247292698786886,0.16779871187444476,0.10247292698786889,0.16779871187444476,0.06532578488657587,possible_over_response
