grid_id,municipality,latitude,longitude,population,inundation_ratio,inundated_building_ratio,road_disruption_ratio,response_signal_count,direct_need_count,response_related_count,information_count,impact_intensity_raw,impact_intensity_log,response_visibility_raw,response_visibility_log,visibility_per_10000,impact_share,visibility_share,delta_share,smi_contribution,impact_z,visibility_z,standardised_residual,mismatch_magnitude,diagnostic_direction,planning_action
G001,Conselice,44.516,11.826,310,0.92,0.48,0.82,1,0,1,0,0.74,0.5538851132264376,1,0.6931471805599453,32.25806451612903,0.12171052631578945,0.010526315789473684,-0.11118421052631576,0.05559210526315788,1.1803503761326302,-1.1662000029555823,2.3465503790882125,0.6882645729463391,under_visibility,"Protect critical access links, prepare detours and pre-position assets; add proactive field verification and redundant reporting channels."
G002,Conselice,44.507,11.838,270,0.84,0.39,0.76,0,0,0,0,0.6633333333333333,0.5088236210953176,0,0.0,0.0,0.10910087719298243,0.0,-0.10910087719298243,0.05455043859649122,0.8300289361975003,-1.887250669860582,2.7172796060580824,0.7970028277705505,under_visibility,"Protect critical access links, prepare detours and pre-position assets; add proactive field verification and redundant reporting channels."
G003,Lugo,44.423,11.907,820,0.71,0.55,0.68,3,1,1,1,0.6466666666666667,0.4987530425317215,3,1.3862943611198906,36.58536585365854,0.10635964912280702,0.031578947368421054,-0.07478070175438596,0.03739035087719298,0.7517372637177419,-0.44514933605058227,1.196886599768324,0.35105772788685297,under_visibility,"Protect critical access links, prepare detours and pre-position assets; add proactive field verification and redundant reporting channels."
G004,Lugo,44.414,11.918,690,0.63,0.42,0.61,2,1,0,1,0.5533333333333332,0.44040315946944475,2,1.0986122886681098,28.985507246376812,0.09100877192982453,0.021052631578947368,-0.06995614035087716,0.03497807017543858,0.29810792106429934,-0.7444124016961758,1.0425203227604751,0.3057806945578663,under_visibility,"Protect critical access links, prepare detours and pre-position assets; add proactive field verification and redundant reporting channels."
G005,Faenza,44.288,11.88,1450,0.58,0.72,0.49,13,4,4,5,0.5966666666666667,0.46791812275471417,13,2.6390573296152584,89.6551724137931,0.09813596491228069,0.1368421052631579,0.038706140350877216,0.019353070175438608,0.5120174278735724,0.8580451358330872,-0.34602770795951476,0.10149307458674554,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
G006,Faenza,44.278,11.892,1230,0.51,0.66,0.44,10,3,3,4,0.5366666666666666,0.42961556834044745,10,2.3978952727983707,81.30081300813009,0.0882675438596491,0.10526315789473684,0.01699561403508773,0.008497807017543865,0.21424197968035083,0.6071748058700847,-0.3929328261897338,0.11525077246334657,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
G007,Ravenna,44.42,12.2,1750,0.28,0.31,0.22,20,5,4,11,0.27,0.23901690047049992,20,3.044522437723423,114.28571428571429,0.044407894736842105,0.21052631578947367,0.16611842105263158,0.08305921052631579,-1.2675287433935287,1.2798327370924936,-2.547361480486022,0.7471642957812485,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
G008,Ravenna,44.41,12.215,1600,0.35,0.37,0.29,16,4,3,9,0.33666666666666667,0.29017895265036814,16,2.833213344056216,100.0,0.05537280701754385,0.16842105263157894,0.11304824561403509,0.056524122807017546,-0.8697797354926177,1.060017137772381,-1.9297968732649986,0.5660269784478316,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
G009,Forli,44.224,12.041,1320,0.46,0.61,0.55,7,2,2,3,0.54,0.43178241642553783,7,2.0794415416798357,53.03030303030303,0.08881578947368421,0.07368421052631578,-0.015131578947368426,0.007565789473684213,0.23108770105772397,0.27590133085441754,-0.044813629796693566,0.013144245292607522,approximate_balance,Maintain monitoring; no strong directional mismatch in the demo.
G010,Cesena,44.139,12.243,1390,0.43,0.57,0.47,8,3,2,3,0.4899999999999999,0.39877611995736767,8,2.1972245773362196,57.55395683453238,0.08059210526315787,0.08421052631578947,0.003618421052631604,0.001809210526315802,-0.02551306289411485,0.3984258664682303,-0.4239389293623452,0.12434514458891739,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
G011,Sant'Agata sul Santerno,44.441,11.861,220,0.79,0.34,0.73,1,0,1,0,0.62,0.4824261492442927,1,0.6931471805599453,45.45454545454545,0.1019736842105263,0.010526315789473684,-0.09144736842105261,0.045723684210526305,0.6248071401107345,-1.1662000029555823,1.7910071430663168,0.5253186879990875,under_visibility,"Protect critical access links, prepare detours and pre-position assets; add proactive field verification and redundant reporting channels."
G012,Bologna,44.495,11.343,1900,0.08,0.11,0.07,14,2,2,10,0.08666666666666666,0.08311490671050657,14,2.70805020110221,73.6842105263158,0.014254385964912276,0.14736842105263157,0.1331140350877193,0.06655701754385965,-2.479557204054293,0.9298153996278126,-3.4093726036821055,1.0,over_visibility,Apply attention-calibration rules and cross-check highly visible cells against physically reconstructed impact.
